Rank,Name,Address,URL
1.,daeho,"1620 Post St, San Francisco, CA",https://ko.foursquare.com/v/daeho/5c687f93e1f0aa002c124962
2.,toyose,"3814 Noriega St (btwn 45th & 46th Ave), San Francisco, CA",https://ko.foursquare.com/v/toyose/4a73619af964a52050dc1fe3
3.,hrd,"521A 3rd St (btwn Bryant St & S Pk Ave), San Francisco, CA",https://ko.foursquare.com/v/hrd/4a2937f2f964a52068951fe3
4.,manna,"845 Irving St (at 10th Ave), San Francisco, CA",https://ko.foursquare.com/v/manna/4e0a83f41495b12d82382c71
5.,han-il-kwan,"1802 Balboa St (at 19th Ave), San Francisco, CA",https://ko.foursquare.com/v/han-il-kwan/46c5f703f964a520094a1fe3
6.,my-tofu-house,"4627 Geary Blvd (btwn 10th & 11th Ave), San Francisco, CA",https://ko.foursquare.com/v/my-tofu-house/4387a580f964a5200f2b1fe3
7.,brothers-korean-restaurant,"4128 Geary Blvd (between 5th Ave & 6th Ave), San Francisco, CA",https://ko.foursquare.com/v/brothers-korean-restaurant/3fd66200f964a520deec1ee3
8.,muguboka-korean-bbq,"401 Balboa St (at 5th Ave.), San Francisco, CA",https://ko.foursquare.com/v/muguboka-korean-bbq/457c2ffff964a520003f1fe3
9.,namu-gaji,"499 Dolores St (at 18th St), San Francisco, CA",https://ko.foursquare.com/v/namu-gaji/4f359f3b7beb8cc43414ab62
10.,tacorea,"809 Bush St (at Mason St), San Francisco, CA",https://ko.foursquare.com/v/tacorea/577709b1498ec87e7dcdb1f8
11.,surisan,"505 Beach St (Jones St), San Francisco, CA",https://ko.foursquare.com/v/surisan/588510a1af7d1717ff95030a
12.,cocobang,"550 Taylor St (at Post St), San Francisco, CA",https://ko.foursquare.com/v/cocobang/4a960947f964a520de2520e3
13.,the-lucky-pig,"791 Ofarrell St (Larkin), San Francisco, CA",https://ko.foursquare.com/v/the-lucky-pig/5b4aa41d270ee7002cb61a85
14.,namu-stonepot,"553 Divisadero St (Hayes Street), San Francisco, CA",https://ko.foursquare.com/v/namu-stonepot/596f7dac851de55ed93ce160
15.,koja-kitchen,"865 Market St, San Francisco, CA",https://ko.foursquare.com/v/koja-kitchen/5a0522a83af988764605d1dc
